109002|Quiz Daisousa Sen - The Last Count Down|Quiz Daisousa Sen - The Last Count Down||Quiz,Quiz / Japanese,|2||SNK|SNK|1991
109003|Quiz King Of Fighters|Quiz King of Fighters||Quiz,Quiz / Japanese,|2||Saurus|SNK|1995
109004|Quiz Meitantei Neo And Geo - Quiz Daisousa Sen Part 2|Quiz Meitantei Neo&Geo - Quiz Daisousa Sen part 2||Quiz,Quiz / Japanese,|2||SNK|SNK|1992
37626A|Rage Of The Dragons|Rage of the Dragons||Fight,Fight / Versus,|2||Evoga / Playmore|Evoga / Playmore|2002
37621A|Ragnagard / Shin-oh-ken|Ragnagard||Fight,Fight / Versus,|2||Saurus|Saurus|1996
37622A|Real Bout Fatal Fury / Real Bout Garou Densetsu|Real Bout Fatal Fury||Fight,Fight / Versus,|2||SNK|SNK|1996
37623A|Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers|Real Bout Fatal Fury 2 - The Newcomers||Fight,Fight / Versus,|2||SNK|SNK|1998
37624A|Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special|Real Bout Fatal Fury Special||Fight,Fight / Versus,|2||SNK|SNK|1996
37625A|Riding Hero|Riding Hero||Race, Driving,Motorcycle Race, 3rd Pers.,|2||SNK|SNK|1990
13918A|Robo Army|Robo Army||Beat'em Up,|2||SNK|SNK|1991
37629A|Samurai Shodown / Samurai Spirits|Samurai Shodown / Samurai Spirits||Fight,Fight / Versus,|2||SNK|SNK|1993
37630A|Samurai Shodown 2 / Shin Samurai Spirits - Haohmaru Jigokuhen|Samurai Shodown II||Fight,Fight / Versus,|2||SNK|SNK|1994
37631A|Samurai Shodown 3 / Samurai Spirits - Zankurou Musouken|Samurai Shodown III|Samurai Shodown III / Samurai Spirits - Zankurou Musouken|Fight,Fight / Versus,|2||SNK|SNK|1995
37632A|Samurai Shodown 4 - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin|Samurai Shodown IV - Amakusa's Revenge|Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin|Fight,Fight / Versus,|2||SNK|SNK|1996
37633A|Samurai Shodown V / Samurai Spirits Zero|Samurai Shodown V||Fight,Fight / Versus,|2||Yuki Enterprise / SNK Playmore|Yuki Enterprise / SNK Playmore|2003
37628A|Samurai Shodown V Special / Samurai Spirits Zero Special|Samurai Shodown V Special||Fight,Fight / Versus,|2||Yuki Enterprise / SNK Playmore|Yuki Enterprise / SNK Playmore|2004
37634A|Savage Reign / Fu'un Mokushiroku - Kakutou Sousei|Savage Reign||Fight,Fight / Versus,|2||SNK|SNK|1995
13874A|Sengoku / Sengoku Denshou|Sengoku||Beat'em Up,|2||SNK|SNK|1991
37636A|Sengoku 2 / Sengoku Denshou 2|Sengoku 2||Beat'em Up,|2||SNK|SNK|1993
37637A|Sengoku 3 / Sengoku Densho 2001|Sengoku 3||Beat'em Up,|2||Noise Factory|SNK|2001
108952|Shadow Of The Beast|Shadow of the Beast||Platform,|||Jeff Kurtz|homebrew|2002
37639A|Shock Troopers|Shock Troopers||Shoot'em Up,|2||Saurus|SNK|1997
37638A|Shock Troopers - 2nd Squad / Lansquenet 2004|Shock Troopers - 2nd Squad||Shoot'em Up,|2||Saurus|SNK|1998
37640A|Soccer Brawl|Soccer Brawl||Sports,Sports / Soccer,|2||SNK|SNK|1991
37643A|Spin Master / Miracle Adventure|Spin Master||Platform,Plateform / Shooter Scrolling,|2||Data East|Data East|1993
37648A|Stakes Winner / Stakes Winner - Gi Kinzen Seiha E No Michi|Stakes Winner||Sports with Animals,Horses race,|2||Saurus|SNK|1995
13978A|Stakes Winner 2|Stakes Winner 2||Horses race,Sports with Animals,|2||Saurus|SNK|1996
37649A|Street Hoop / Street Slam / Dunk Dream|Street Slam||Sports,Sports / Basketball,|2||Data East|Data East|1994
37627A|Strikers 1945 Plus|Strikers 1945 Plus||Shoot'em Up,Shoot'em up / Vertical,|2||Psikyo|Psikyo|1999
37635A|Super Dodge Ball / Kunio No Nekketsu Toukyuu Densetsu|Super Dodge Ball||Sports,Sports / Dodgeball,|2||Tecmo|Tecmo|1987
37644A|Super Sidekicks / Tokuten Ou|Super Sidekicks||Sports,Sports / Soccer,|2||SNK|SNK|1992
37645A|Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football|Super Sidekicks 2 - The World Championship||Sports,Sports / Soccer,|2||SNK|SNK|1994
37646A|Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou E No Michi|Super Sidekicks 3 - The Next Glory||Sports,Sports / Soccer,|2||SNK|SNK|1995
13935A|Super Spy, The|The Super Spy||Beat'em Up,Adventure,|2||SNK|SNK|1991
13853A|Svc Chaos - Snk Vs. Capcom|SVC Chaos - SNK Vs. Capcom||Fight,Fight / Versus,|2||SNK|SNK|2003
108993|Syougi No Tatsujin - Master Of Syougi|Syougi No Tatsujin - Master of Syougi|Shougi No Tatsujin - Master of Shougi|Shougi,Asiatic board game,Reflection,|2||ADK|SNK|1995
37653A|Tecmo World Soccer '96|Tecmo World Soccer '96||Sports,Sports / Soccer,|2||Tecmo|Tecmo|1996
108987|King of Fighters 10th Anniversary, The|The King of Fighters 10th Anniversary||Fight,|2||||
37647A|Super Sidekicks 4 - The Ultimate 11|The Ultimate 11: SNK Football Championship||Sports,Sports / Soccer,|2||SNK|SNK|1996
13962A|Thrash Rally|Thrash Rally||Race, Driving,Race, Driving / Race,|2||ADK|SNK|1991
109297|Time's Up|Time's Up||Shoot'em Up,|2||NGF Dev|homebrew|2012
37650A|Top Hunter|Top Hunter||Platform,Plateform / Fighter Scrolling,|2||SNK|SNK|1994
13977A|Top Player's Golf|Top Player's Golf||Sports,Sports / Golf,|2||SNK|SNK|1991
87614A|Treasure Of The Caribbean|Treasure of the Caribbean||Puzzle-Game,|2||Le Cortex / Face|Neo Conception International|2011
37652A|Twinkle Star Sprites|Twinkle Star Sprites||Shoot'em up / Vertical,Shoot'em Up,|2||ADK|SNK|1997
87615A|V-liner|V-Liner||Casino,Casino / Slot machine,|1||Dyna|SNK|2001
13929A|Viewpoint|Viewpoint||Shoot'em up / Diagonal,Shoot'em Up,|2||Sammy|SNK|1992
37583A|Voltage Fighter - Gowcaizer|Voltage Fighter - Gowcaizer||Fight,Fight / Versus,|2||Technos Japan|Tecmo|1995
13947A|Waku Waku 7|Waku Waku 7||Fight,Fight / Versus,|2||Sunsoft|SNK|1996
37656A|Windjammers|Windjammers||Sports,|2||Data East|SNK|1994
37654A|World Heroes|World Heroes||Fight,Fight / Versus,|2||ADK|SNK|1992
13942A|World Heroes 2|World Heroes 2||Fight,Fight / Versus,|2||ADK|SNK|1993
37655A|World Heroes 2 Jet|World Heroes 2 Jet||Fight,Fight / Versus,|2||ADK|SNK|1994
13902A|World Heroes Perfect|World Heroes Perfect||Fight,Fight / Versus,|2||ADK|SNK|1995
37657A|Zed Blade|Zed Blade||Shoot'em Up,Shoot'em up / Horizontal,|2||Saurus|SNK|1994
13952A|Zintrick|Zintrick||Puzzle-Game,Puzzle-Game / Throw,|2||ADK|SNK|1995
13913A|Zupapa|Zupapa|Zupapa!|Platform,Plateform / Run Jump,|2||SNK|SNK|2001
