99478A|3 Skulls Of The Toltecs|3 Skulls Of The Toltecs||Point and Click,Adventure,|1||Revistronic|Warner Interactive Entertainment Ltd.|1996
99699A|Leather Goddesses Of Phobos 2|Leather Goddesses of Phobos! 2: Gas Pump Girls Meet the Pulsating Inconvenience from Planet X||Point and Click,Adventure,|1||Infocom, Inc.|Activision, Inc.|
99919A|Legend of Kyrandia - Book Three - Malcolm's Revenge, The|Legend of Kyrandia - Book Three - Malcolm's Revenge, The||Point and Click,Adventure,|1||Westwood Studios, Inc.|Virgin Interactive Entertainment (Europe) Ltd.|1994
100486|Legend of Kyrandia - Book Two - Hand of Fate, The|The Legend of Kyrandia: Hand of Fate||Point and Click,Adventure,|||Westwood Studios, Inc.|Virgin Games, Inc.|1993
99700A|Leisure Suit Larry Goes Looking For Love|Leisure Suit Larry Goes Looking For Love||Point and Click,Adventure,|1||Sierra|Sierra|1988
99702A|Leisure Suit Larry 3 - Passionate Patti In Pursuit Of The Pulsating Pectorals|Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals||Point and Click,Adventure,|1||Sierra|Sierra|1989
99704A|Leisure Suit Larry 5 - Passionate Patti Does Some Undercover Work|Leisure Suit Larry 5 - Passionate Patti Does Some Undercover Work||Point and Click,Adventure,|1||Sierra|Sierra|1991
99708A|Leisure Suit Larry 6 - Shape Up Or Slip Out!|Leisure Suit Larry 6: Shape Up or Slip Out!||Point and Click,Adventure,|1||Sierra|Sierra|1993
152394|Leisure Suit Larry 7 - Love For Sail!|Leisure Suit Larry 7 - Love For Sail!||Adventure,Point and Click,|1||Sierra|Sierra|1996
99713A|Leisure Suit Larry In The Land Of The Lounge Lizards|Leisure Suit Larry in the Land of the Lounge Lizar||Point and Click,Adventure,|1||Sierra|Sierra|
99709A|Leisure Suit Larry In The Land Of The Lounge Lizards|Leisure Suit Larry In The Land Of The Lounge Lizards||Point and Click,Adventure,|1||Sierra|Sierra|1987
99930A|Touché - The Adventures Of The Fifth Musketeer|Touché: The Adventures of the Fifth Musketeer||Point and Click,Adventure,|1||Clipper Software|U.S. Gold|1995
99515A|Broken Sword - The Shadow Of The Templars|Broken Sword: The Shadow of the Templars||Point and Click,Adventure,|1||Revolution Software|Virgin|1996
100336|Broken Sword 2.5 - The Return Of The Templars|Broken Sword 2.5 - The Return Of The Templars||Point and Click,Adventure,|1||mindFactory|mindFactory|
