38594A|Ball Bullet Gun|Ball Bullet Gun||Strategy,|2||I'Max|Betop - I'Max|1995
19001A|Ballz 3d - Fighting At Its Ballziest|Ballz 3D : Fighting at Its Ballziest||Fight,Action,|2|Coop|Accolade|Accolade|1994
38595A|Barbarossa|Barbarossa||Strategy,|1||Systemsoft|Sammy|1992
2751AA|Barbie - Super Model|Barbie Super Model||Action,Adventure,|1||Tahoe|Hi-Tech Expressions|1993
2853AA|Barbie - Vacation Adventure|Barbie Vacation Adventure||Various,|2||Software Creations|HiTech Creations|1994
2834AA|Barkley - Shut Up And Jam!|Barkley Shut Up and Jam!||Sports,|4|Coop|Accolade|Accolade|1994
2821AA|Bass Masters Classic|Bass Masters Classic||Hunting and Fishing,|1||Black Pearl Software|Malibu Games|1995
2712AA|Bass Masters Classic - Pro Edition|Bass Masters Classic : Pro Edition||Hunting and Fishing,|1||Black Pearl Software|Malibu Games|1996
2822AA|Bassin's Black Bass With Hank Parker|Bassin's Black Bass||Hunting and Fishing,|1||Starfish|Hot-b|1994
2578AA|Bastard!!|Bastard!!|Bastard!! - Ankoku no Hakai-shin|Fight,|2|Coop|Cobra Team|Cobra Team|1994
38596A|Batman|Batman||Action,Beat'em Up,|1||Software Creations|Software Creations|1999
2347AA|Batman - Revenge Of The Joker|Batman : Revenge of the Joker||Platform,Action,|1||Ringler Studios|Sunsoft|1991
2245AA|Batman Forever|Batman Forever||Beat'em Up,Action,|2|Coop|Probe|Acclaim Entertainment|1995
2213AA|Batman Returns|Batman Returns||Beat'em Up,Race,Driving,|1||Konami|Konami|1993
2792AA|Battle Blaze|Battle Blaze||Fight,Action,|2||Sammy|Sammy|1992
2856AA|Battle Cars|Battle Cars||Race,Driving,|2|Coop|Namco|Namco|1993
19002A|Battle Clash|Battle Clash||Lightgun Shooter,Action,|2||Intelligent Systems Co., Ltd.|Nintendo|1992
38597A|Battle Commander - Hachibushuu, Shura No Heihou|Battle Commander - Hachibushuu, Shura No Heihou|Battle Commander - Hachibushuu Shura no Heihou|Strategy,|1||Arc System Works|Banpresto|1991
38598A|Battle Cross|Battle Cross||Various,|5|Coop|A-Max|Imagineer|1994
38599A|Battle Dodge Ball - Toukyuu Daigekitotsu!|Battle Dodge Ball - Toukyuu Daigekitotsu!|Battle Dodgeball|Sports,|2||Banpresto|Banpresto|1991
2752AA|Battle Dodge Ball 2|Battle Dodge Ball 2||Sports,|2||Banpresto|Banpresto|1993
19003A|Battle Grand Prix|Battle Grand Prix||Race,Driving,|2|Coop|Naxat Soft|Hudson|1993
38600A|Battle Jockey|Battle Jockey||Sports with Animals,Horses race,|4|Coop|Nova Games Ltd.|Virgin|1994
38601A|Battle Master - Kyuukyoku No Senshi-tachi|Battle Master - Kyuukyoku No Senshi-tachi|Battle Master - Kyuukyoku no Senshitachi|Fight,|2||System Vision|SystemVision - Toshiba EMI|1993
38602A|Battle Pinball|Battle Pinball||Pinball,|1||Banpresto|Banpresto|1995
38603A|Battle Racers|Battle Racers||Race,Driving,|2||Banpresto|Banpresto|1995
38604A|Battle Robot Retsuden|Battle Robot Retsuden||Strategy,|1||Winky Soft|Banpresto|1995
38605A|Battle Soccer - Field No Hasha|Battle Soccer - Field No Hasha||Sports,|2||Pandora Box|Banpresto|1992
38606A|Battle Soccer 2|Battle Soccer 2||Sports,|2||Pandora Box|Banpresto|1994
38608A|Battle Submarine|Battle Submarine||Simulation,|1||Office Koukan|Pack-In-Video|1995
19005A|Battle Tycoon|Battle Tycoon||Fight,|2||Right Stuff Corp.|Right Stuff Corp.|1995
38607A|Battle Zeque Den|Battle Zeque Den||Beat'em Up,|1||Arsys|Asmik Ace Entertainment, Inc.|1994
2139AA|Battletoads And Double Dragon|Battletoads & Double Dragon||Beat'em Up,|2|Coop|Rareware|Rare - Tradewest|1993
2140AA|Battletoads In Battlemaniacs|Battletoads in Battlemaniacs||Beat'em Up,Action,|2|Coop|Rareware|Tradewest|1993
18928A|Bazooka Blitzkrieg|Bazooka Blitzkrieg||Lightgun Shooter,Action,|1||Bandai|Bandai|1992
2478AA|Beavis And Butt-head|Beavis and Butt-Head||Platform,|2|Coop|Realtime Associates|Viacom|1994
18929A|Bebe's Kids|Bebe's Kids||Beat'em Up,Action,|1||Radical Entertainment Inc.|Motown Software|1994
2744AA|Beethoven - The Ultimate Canine Caper!|Beethoven : The Ultimate Canine Caper!||Platform,|1||Riedel Software Productions, Inc.|Hi-Tech Expressions, Inc.|1993
38610A|Benkei Gaiden - Suna No Shou|Benkei Gaiden - Suna No Shou||Role playing games,|1||Sunsoft|Sunsoft|1992
2435AA|Best Of The Best - Championship Karate|Best of the Best : Championship Karate||Fight,Sports,|2||Loriciels|Electro Brain|1992
38611A|Best Shot Pro Golf|Best Shot Pro Golf||Sports,|1||ASCII Entertainment|ASCII Entertainment|1996
38612A|Big Ichigeki! Pachi-slot Daikouryaku|Big Ichigeki! Pachi-slot Daikouryaku|Big Ichigeki! Pachi-Slot Daikouryaku 2|Casino,|1||Syscom|Ask|1994
38613A|Big Ichigeki! Pachi-slot Daikouryaku 2 - Universal Collection|Big Ichigeki! Pachi-slot Daikouryaku 2 - Universal Collection|Big Ichigeki! Pachi-Slot Daikouryaku 2|Casino,|1||Syscom|Ask|1995
2590AA|Big Sky Trooper|Big Sky Trooper||Action,Shooter,Adventure,|1||JVC|LucasArts|1995
38614A|Bike Daisuki! Hashiriya Tamashii|Bike Daisuki! Hashiriya Tamashii||Race,Driving,|2||NCS|Masaya|1994
2385AA|Biker Mice From Mars|Biker Mice from Mars||Race,Driving,|2|Coop|Konami|Konami|1994
19006A|Bill Laimbeer's Combat Basketball|Bill Laimbeer's Combat Basketball||Sports,|2|Coop|Hudson|Hudson|1991
2930AA|Bill Walsh College Football|Bill Walsh College Football||Sports,|5|Coop|EA Sports|Visual Concepts|1993
38615A|Bing Bing! Bingo|Bing Bing! Bingo||Casino,|2||Copya System|KSS|1993
2758AA|Biometal|BioMetal|Bio Metal|Shoot'em Up,Action,|1||Athena|Activision|1993
38616A|Bishin Densetsu Zoku|Bishin Densetsu Zoku|Bishin Densetsu Zoku - The Legend of Bishin|Beat'em Up,|2||Magifact|Magifact|1993
38617A|Bishoujo Janshi Suchie-pai|Bishoujo Janshi Suchie-pai||Asiatic board game,|2||Jaleco|Jaleco|1993
38618A|Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen|Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen||Fight,|2||Monolith|Angel (Bandai)|1996
38619A|Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!!|Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!!||Fight,|1||KSS|KSS|1996
2329AA|Blackthorne|Blackthorne||Platform,Action,|1||Blizzard Entertainment|Interplay|1994
64767A|World Class Rugby|World Class Rugby|World Class Rugby 2 - Kokunai Gekitou Hen '93|Sports,|2||Denton Designs|Imagineer|1993
18931A|Blazeon - The Bio-cyborg Challenge|BlaZeon : The Bio-Cyborg Challenge|Blazeon|Shoot'em Up,|1||A.I Co., Ltd.|Atlus|1992
38620A|Block Kuzushi|Block Kuzushi||Action,Breakout,|2||OeRSTED|Pow|1995
38621A|Bobby's World|Bobby's World||Platform,|1||RSP|Hi-Tech|1994
38623A|Bomber Man B-daman|Bomber Man B-daman|Bomberman B-Daman|Action,Arcade|4||Al|Hudson|1996
2662AA|Bonkers|Bonkers||Platform,|1||Capcom|Capcom|1994
2459AA|Boogerman - A Pick And Flick Adventure|Boogerman : A Pick and Flick Adventure||Platform,Action,|1||Interplay|Interplay|1995
2741AA|Bounty Sword|Bounty Sword||Role playing games,Strategy,|1||Pioneer Productions|Pioneer Productions|1995
2683AA|Boxing Legends Of The Ring|Boxing Legends of the Ring||Sports,|1|Coop|Electro Brain|Sculptured Software|1993
2358AA|Brain Lord|Brain Lord||Role playing games,|1||Produce|Enix|1994
2345AA|Bram Stoker's Dracula|Bram Stoker's Dracula||Platform,Action,|1||Psygnosis|Sony|1993
2495AA|Brandish|Brandish|Brandish 2 - Expert|Role playing games,Action,|1||Koei|Koei|1994
2573AA|Brandish 2 - The Planet Buster|Brandish 2 - Expert||Role playing games,|1||Nihon Falcom|Koei|1995
2483AA|Brawl Brothers|Brawl Brothers||Beat'em Up,|2|Coop|Jaleco|Jaleco|1992
2838AA|Breakthru!|BreakThru!||Puzzle-Game,|2|Coop|Zoo Corporation|Spectrum Holobyte|1994
2217AA|Breath Of Fire|Breath of Fire||Role playing games,|1||Capcom|Square Enix|1993
2188AA|Breath Of Fire 2|Breath of Fire II||Role playing games,|1||Capcom|Capcom|1994
94369A|Brett Hull Hockey|Brett Hull Hockey|Brett Hull Hockey '95|Sports,Sports / Hockey,|1|Coop|Radical Entertainment Inc.|Accolade|1994
2885AA|Brett Hull Hockey 95|Brett Hull Hockey 95|Brett Hull Hockey '95|Sports,|2|Coop|Radical Entertainment|Accolade|1994
18932A|Bronkie The Bronchiasaurus|Bronkie the Bronchiasaurus|Bronkie Health Hero|Adventure,Various,|2|Coop|WaveQuest Inc.|Health Hero Network, Inc.|1995
151238|Bruce Campbell Vs Ganon|Bruce Campbell Vs Ganon||Role playing games,|1||||
2904AA|Brunswick World Tour Of Champions|Brunswick World Tournament of Champions||Sports,|4|Coop|Black Pearl Software|Tiertex Design Studios|1997
2684AA|Brutal - Paws Of Fury|Brutal : Paws of Fury|Brutal - Paws of Fury (J)|Fight,|2|Coop|Kemco|Eurocom|1994
124690|Brutal Mario|Brutal Mario||Plateform / Run Jump Scrolling,Platform,|2||Carol||2008
2427AA|Bubsy 2|Bubsy II||Platform,Action,|2|Coop|Accolade|Accolade - Telstar Fun & Games|1994
2411AA|Bubsy In - Claws Encounters Of The Furred Kind|Bubsy in : Claws Encounters of the Furred Kind||Platform,|1|Coop|Accolade|Accolade|1992
2521AA|Bugs Bunny - Rabbit Rampage|Bugs Bunny : Rabbit Rampage||Platform,|1||Viacom|Sunsoft|1994
2618AA|Bulls Vs Blazers And The Nba Playoffs|Bulls vs Blazers and the NBA Playoffs||Sports,|2||EA Sports|Electronic Arts|1992
19008A|Burai - Hachigyoku No Yshi Densetsu|Burai - Hachigyoku No Yshi Densetsu|Burai - Hachigyoku no Yuushi Densetsu|Role playing games,|2||Riverhill Software Inc.|Information Global Service|1993
18933A|Bushi Seiryden - Futari No Ysha|Bushi Seiryden - Futari No Ysha||Adventure,Role playing games,|2||Game Freak, Inc.|T&E Soft, Inc.|1997
2530AA|Puzzle Bobble - Bust-a-move|Bust-A-Move||Puzzle-Game,|2|Coop|Taito|Taito|1995
2759AA|Cacoma Knight In Bizyland|Cacoma Knight in Bizyland|Cacoma Knight|Action,Strategy,|2|Coop|SETA Corporation|SETA Corporation|1992
2894AA|Cal Ripken Jr. Baseball|Cal Ripken Jr. Baseball||Sports,|2|Coop|Mindscape|Beam Software|1992
2571AA|California Games 2|California Games II||Sports,|8|Coop|Silicon Sorcery|DTMC|1993
2581AA|Cannon Fodder|Cannon Fodder||Strategy,|2||Sensible Software|Sensible Software|1994
2912AA|Cannondale Cup|Cannondale Cup||Sports,|2|Coop|Radical Entertainment|Radical Entertainment|1994
19009A|Capcom's Mvp Football|Capcom's MVP Football||Sports,|2|Coop|Equilibrium, Inc.|Capcom|1993
2628AA|Captain America And The Avengers|Captain America and the Avengers||Beat'em Up,Action,|2|Coop|Data East|Data East|1993
2449AA|Captain Commando|Captain Commando||Beat'em Up,Action,|2|Coop|Capcom|Capcom|1995
2620AA|Captain Novolin|Captain Novolin||Platform,Educational,|1||Sculptured Software|Sculptured Software|1992
2403AA|Captain Tsubasa III - Challenge of Kaiser|Captain Tsubasa 3 - Koutei no Chousen||Sports,|2||Tecmo|Tecmo|1992
2388AA|Captain Tsubasa 5 - Hasha No Shougou Campione|Captain Tsubasa 5 - Hasha No Shougou Campione|Captain Tsubasa V - Hasha no Shougou Canpione|Role playing games,Sports,|1||Tecmo|Tecmo|1994
94366A|Captain Tsubasa 4 - Pro No Rival-tachi|Captain Tsubasa 4 - Pro No Rival-tachi||Role playing games,Sports,|1||Tecmo|Tecmo|1993
2311AA|Captain Tsubasa J|Captain Tsubasa J|Captain Tsubasa J - The Way to World Youth|Role playing games,Sports,|2||Bandai Namco|Bandai Namco|1995
38669A|Caravan Shooting Collection|Caravan Shooting Collection||Shoot'em Up,Compilation,|1||Hudson|Hudson|1995
2778AA|Carrier Aces|Carrier Aces||Simulation,|2|Coop|GameTek|GameTek|1995
2512AA|Casper|Casper||Adventure,Action,|1||Interplay|Interplay|1996
2182AA|Akumajou Dracula X|Castlevania : Dracula X|Akumajou Dracula XX|Platform,Action,|1||Konami|Konami|1995
38670A|Cb Chara Wars - Ushinawareta Gag|Cb Chara Wars - Ushinawareta Gag||Beat'em Up,|2||Almanic Corp.|Banpresto|1992
2757AA|Champions World Class Soccer|Champions : World Class Soccer||Sports,|2|Coop|Park Place Productions|Acclaim Entertainment|1993
2903AA|Championship Pool|Championship Pool||Sports,|8|Coop|Bitmasters|Majesco|1993
2663AA|Sensible Soccer - European Champions|Championship Soccer '94||Sports,|2|Coop|Renegade Software|Sensible Software|1994
19013A|Chaos Seed - Fuusui Kairoki|Chaos Seed - Fuusui Kairoki||Role playing games,Strategy,|2||Neverland Co., Ltd.|Taito|1996
152480|Chavez|Chavez||Sports / Boxing,Sports,|2|Coop|American Softworks Corporation|Malibu Interactive|1994
152479|Chavez 2|Chavez II||Sports / Boxing,Sports,|1|Coop|American Softworks Corporation|Sculptured Software, Inc.|1994
2723AA|Chester Cheetah - Too Cool To Fool|Chester Cheetah : Too Cool to Fool||Platform,|1||Kaneko|Kaneko|1992
2709AA|Chester Cheetah - Wild Wild Quest|Chester Cheetah : Wild Wild Quest||Platform,|1||Kaneko|Kaneko|1994
38672A|Chibi Maruko-chan - Harikiri 365-nichi No Maki|Chibi Maruko-chan - Harikiri 365-nichi No Maki||Playing cards,|4||SAS Sakata|Epoch|1991
38673A|Chibi Maruko-chan - Mezase! Minami No Island!!|Chibi Maruko-chan - Mezase! Minami No Island!!||Action,Arcade,|4||Konami|Konami|1995
38674A|Chinhai|Chinhai||Asiatic board game,|1||Pixel|Banpresto|1995
2851AA|Cho Aniki - Bakuretsu Rantouden|Chou Aniki - Bakuretsu Rantou Hen|Chou Aniki - Bakuretsu Rantouden|Shoot'em Up,Fight / Versus,Fight,|2||Masaya|NCS Corp|1995
2475AA|Choplifter 3|Choplifter III : Rescue-Survive|Choplifter III|Shoot'em Up,|1||Ocean|Beam Software|1994
19015A|Chou Mahou Tairiku Wozz|Chou Mahou Tairiku Wozz||Role playing games,|2||Red Company Corporation|Bullet-Proof Software, Inc.|1995
2465AA|Choujikuu Yousai Macross - Scrambled Valkyrie|Choujikuu Yousai Macross - Scrambled Valkyrie||Shoot'em Up,|1||Zamuse|Zamuse|1993
2143AA|Chrono Trigger|Chrono Trigger|BS Chrono Trigger - Character Library|Role playing games,|1||Square Enix|Square Soft, Inc.|1995
152412|Chrono Trigger - Crimson Echoes|Chrono Trigger - Crimson Echoes||Role playing games,|1||||2009
108061|Chrono Trigger - Flames Of Eternity|Chrono Trigger - Flames Of Eternity||Role playing games,|1||||2010
108062|Chrono Trigger - Prophet's Guile|Chrono Trigger - Prophet's Guile||Role playing games,|1||||2007
2387AA|Chuck Rock|Chuck Rock||Platform,Action,|1||Core Design|Sony|1992
97397A|Classic Kong|Classic Kong|Classic Road|Action,Platform,|2||Shiru|BubbleZap Games|2012
38677A|Classic Road|Classic Road||Horses race,Sports with Animals,|1||Opera House|Victor Interactive Software|1993
38678A|Classic Road 2|Classic Road 2||Horses race,Sports with Animals,|1||Opera House|Victor Interactive Software|1995
19016A|Clay Fighter|Clay Fighter|Clay Fighter 2 - Judgment Clay|Fight,Action,|2|Coop|Visual Concepts Entertainment, Inc.|Interplay Productions, Inc.|1993
2639AA|Clay Fighter 2 - Judgement Clay|Clay Fighter 2 : Judgment Clay||Fight,Action,|2||Interplay|Interplay|1995
2452AA|Clay Fighter - Tournament Edition|Clay Fighter : Tournament Edition||Fight,|8|Coop|Visual Concepts|Interplay|1994
2516AA|Claymates|Claymates||Platform,Action,|8||Visual Concepts|Interplay|1993
2739AA|Cliffhanger|Cliffhanger||Beat'em Up,Action,|1||Malibu Games|Sony|1993
2197AA|Clock Tower|Clock Tower||Adventure,|1||Human Entertainment|Human Entertainment|1995
2693AA|Clockwerx|ClockWerx|Clock Tower|Puzzle-Game,|1||Axes Art Amuse|Tokuma Shoten|1995
2803AA|Clue|Clue||Board game,Strategy,|6|Coop|Parker Brothers|Sculptured Software|1992
2850AA|College Football Usa 97|College Football USA 97|College Football USA '97 - The Road to New Orleans|Sports,|6||Black Pearl Software|EA Sports|1996
2808AA|College Slam|College Slam|College Slam Basketball|Sports,|4|Coop|Iguana Entertainment|Acclaim Entertainment|1996
18935A|Columns|Columns||Puzzle-Game,|4||Sega|Media Factory|1999
38683A|Computer Nouryoku Kaiseki - Ultra Baken|Computer Nouryoku Kaiseki - Ultra Baken||Horses race,Sports with Animals,|4||Culture Brain|Culture Brain|1995
38684A|Congo - The Movie - Secret Of Zinj|Congo : The Movie, Secret of Zinj|Congo The Movie - Secret of Zinj|Adventure,|1||Visual Concepts|Viacom|
2745AA|Congo's Caper|Congo's Caper||Platform,Action,|2||Data East|Data East|1993
19017A|Contra 3 - The Alien Wars|Contra III : The Alien Wars|Contra III - The Alien Wars|Shooter / Run and Gun,Shooter,|2|Coop|Konami|Konami|1992
38686A|Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki Seyo!|Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki Seyo!||Role playing games,Strategy,|2||SAS Sakata|Epoch|1993
2320AA|Cool Spot|Cool Spot||Platform,Action,|1||Virgin|Virgin|1993
2537AA|Cool World|Cool World||Platform,Action,|1||Ocean|Ocean|1992
38687A|Corn Buster|Corn Buster||Action,Puzzle,|2||Engine Software|Piko Interactive LLC|2015
2928AA|Coron Land|Coron Land||Action,3D,|4||Action|Action|1995
38688A|Cosmo Gang - The Puzzle|Cosmo Gang - The Puzzle||Puzzle-Game,|2|Coop|Namco|Namco|1993
38689A|Cosmo Gang - The Video|Cosmo Gang - The Video||Shoot'em Up,|2|Coop|Namco|Namco|1992
