Ahib el Mushman- The Oil Adventure;0;Action
AhiBombersb;0;Action
Ahmatti Antero;0;Action
Ah! My Goddess Tetris;0;Action
Ahorcado;0;Strategy
AIIB v.9fb;0;Action
Aim & Shoot;0;Action
Air Attack;0;Action
Airball;0;Adventure
Airborn Demo;0;Action
Airborne Ranger;0;Action
Air Bucks;0;Simulation
Air Dominance 2;0;Strategy
Air Duel- 80 Years of Dogfighting;0;Simulation
Air Duelc;0;Action
Air Force Commander;0;Strategy
Airlift Rescue;0;Action
Airline;0;Simulation
Airlines;0;Simulation
Air Power- Battle in the Skies;0;Action
Air Puck;0;Action
Air Raid;0;Action
Air-Strike 42;0;Action
Air-Strike;0;Action
Airstrike USA;0;Action
Air Traffic Controller;0;Simulation
Air Traffic Controller;0;Strategy
Air Trax;0;Strategy
Air Troubles;0;Action
Air Unit Z;0;Action
Air Warrior;0;Action
Ai Shimai- Futari no Kajitsu;0;Adventure
Aitic;0;Strategy
AIV Network$;0;Simulation
Ajax;0;Action
Ajedrez;0;Strategy
A-J's Quest;0;Action
A.J.'s World of Discovery;0;Educational
Akeulugseuui Moheom;0;Adventure
Akiko and Minami;0;Action
Akintes;0;Action
Aknakeres;0;Strategy
Aktie-Bal;0;Action
Aktie-Bal II;0;Action
Aktie-Bal III;0;Action
A la carrera;0;Sports
Aladino;0;Action
A la poursuite de Carmen Sandiego dans le monde;0;Adventure
Alaska;0;Action
Alcatraz;0;Action
Alchemist;0;Strategy
Alchemya;0;Strategy
AlchemyII;0;Strategy
Alchemyst;0;Strategy
Alcor Trivia Pro Classic Star Trek;0;Educational
Aldis Kisten-Schiffspiel;0;Action
Aldo Again;0;Action
Aldo's Adventure;0;Action
Aldo's Assault;0;Action
Aldo;0;Strategy
Alex Dampier Pro Hockey 95;0;Sports
Alex David - Bane of Suburbia;0;Adventure
Alex Higgins' World Pool;0;Sports
Alex Higgins' World Snooker;0;Sports
ALEXsoft's Arkanoid;0;Action
Alex;0;Strategy
Alex the Allegator 2;0;Strategy
Alex the Allegatora;0;Action
Alfabeto e parole 1;0;Educational
Alf's Party Kit;0;Educational
ALF's Thinking Skills;0;Educational
ALF's U.S. Geography;0;Educational
ALF's World of Words;0;Educational
ALF- The First Adventure;0;Action
Alge-Blaster Plus!;0;Educational
Algebra Drills;0;Educational
Algoritmika;0;Educational
Aliants- The Desperate Battle for Earth;0;Action
Alice in Wonderland;0;Adventure
Alien 4 - The New Dimension;0;Adventure
Alien;0;Action
Alien Alley;0;Action
Alien Anarchy;0;Action
Alien Assault;0;Action
Alien Assault II;0;Action
Alien Attack;0;Action
Alien Bash;0;Action
Alien Blaster;0;Action
Alien Breed;0;Action
Alien Breed- Tower Assault;0;Action
Alien Breed- Tower Assault CD;0;Action
Alien Breed;0;Trainer
Alien Cabal;0;Action
Alien Carnage;0;Action
Alien Egg Hunt;0;Action
Alien Incident;0;Adventure
Alien Invaders of the Planet Nee! v2;0;Action
Alien Invasion;0;Action
Alien Legacy;0;Strategy
Alien Legacy;0;Trainer
Alien Nation;0;Action
Alienoid;0;Action
Alien Olympics;0;Action
Alien Phobia;0;Action
Alien Poker;0;Strategy
Alien Rampage;0;Action
Alien River;0;Strategy
Aliens;0;Action
Alien Spaceball;0;Action
Alien Syndrome;0;Action
Alien Terror;0;Action
Alien Trilogy;0;Action
Alien v2b;0;Adventure
Alien Worlds;0;Action
Alien Zone;0;Action
Alive Sharks;0;Action
All About Ohio;0;Strategy
All About Our World;0;Educational
All About the States;0;Educational
All-American College Football;0;Sports
Allan Border's Cricket;0;Sports
Alla Ricerca del piccolo David;0;Adventure
All Around Canada Trivia;0;Strategy
All Dogs Go to Heaven;0;Action
Allendale County Schools Educational Programs;0;Educational
Alley Cat;0;Action
Alley Driver;0;Action
All New World of Lemmings;0;Action
All New World of Lemmings;0;Trainer
All Quiet;0;Action
All-Star Sports Collection;0;Sports
All Those Bugs;0;Action
Alone in the Dark 2;0;Action
Alone in the Dark 2;0;Trainer
Alone in the Dark 3;0;Action
Alone in the Dark;0;Action
Alone in the Dark;0;Adventure
Alone;0;Strategy
Alpha Attack;0;Action
Alphabet Circus;0;Educational
Alphabet Games;0;Educational
Alphabet Rings;0;Strategy
Alphabet Soup;0;Educational
Alphabet SoupS;0;Educational
Alpha Build;0;Educational
AlphaMan;0;Adventure
Alpha Man;0;Strategy
Alpha Storm;0;Action
Alpha Waves;0;Action
Alpine Encounter;0;Adventure
Alpine Tram Ride;0;Educational
Al-Qadim- The Genie's Curse;0;Action
Altered Beast;0;Action
Altered Destiny;0;Adventure
Alter Ego- Female;0;Simulation
Alter Ego- Male;0;Simulation
Alternate Logic Puzzles;0;Strategy
Amado;0;Strategy
Amarillo Slim 7 Card Stud;0;Simulation
Amarillo Slim Dealer's Choice;0;Simulation
Amarillo Slim's Real Poker Five Card Stud;0;Simulation
A-Maze;0;Action
Amaze-ing;0;Action
Amazeing;0;Action
Amazement;0;Strategy
Amaze;0;Strategy
A Maze;0;Strategy
Amazing;0;Action
Amazing Adventures of ANSiDude;0;Action
Amazing Maze;0;Strategy
Amazing Snake Racer;0;Action
Amazing Spider-Man and Captain America in Dr. Doom's Revenge!, The;0;Action
Amazing Spider-Man and Captain America, The - Doctor Doom's Revenge;0;Action
Amazing Spider-Man, The;0;Action
Amazon;0;Adventure
Amazon- Guardians of Eden;0;Adventure
Amazônia;0;Adventure
Amazon Queen, L' vM.10;0;Adventure
Amazon Snake;0;Action
Amazon Trail, The;0;Adventure
Amberstar;0;Adventure
AMBILALF;0;Action
Ambush at Sorinor;0;Strategy
Ambush at South Range;0;Action
Ambush at South Range II;0;Action
America Adventure;0;Adventure
American Challenge- A Sailing Simulation, The;0;Sports
American Gladiators;0;Action
American Sign Language Tutor;0;Educational
American States, The;0;Educational
American Tail, An- Fievel Goes West;0;Adventure
America's cup;0;Sports
America's Cup Yacht Racing Simulator;0;Simulation
A-MIS Adventure;0;Adventure
Amnesia;0;Adventure
AmnesiaRol;0;Adventure
Amoba;0;Strategy
Amöba;0;Strategy
Amo del Mundo;0;Action
Amok;0;Action
AmPro Slither 3;0;Action
AM's Mini Golf 3D;0;Action
Amt, Das;0;Simulation
Amulet of Yendor;0;Adventure
Amulets & Armor;0;Action
Amulets & Armor Classic;0;Action
Amulet, The;0;Adventure
Amy's First Primer;0;Educational
Amy's Fun-2-3 Adventure!;0;Adventure
Anaconda;0;Action
Anacreon- Reconstruction 4021-Basic;0;Strategy
Anacreon- Reconstruction 4021d;0;Strategy
Anacreon- Reconstruction 4021;0;Strategy
Anagrams;0;Strategy
ANAL- The Rectum Adventure;0;Action
Anatema- Legenda o Prekliati;0;Action
Anatomy and Physiology;0;Educational
An Ch`i Sheng Shou;0;Strategy
Ancient Art of War at Sea, The;0;Strategy
Ancient Art of War in the Skies, The;0;Action
Ancient Art of War in the Skies update, The;0;Action
Ancient Art of War, The;0;Strategy
Ancient Land of Ys;0;Action
Anciento;0;Strategy
Ancient Spectre, The;0;Adventure
Andkara;0;Adventure
Android;0;Action
Android Nim;0;Strategy
Andromedas Erbe - Teil 1- Das UFO;0;Adventure
Andromedas Erbe - Teil II - Der wahre Sieg;0;Adventure
An Elder Scrolls Legend- Battlespire;0;Action
Angband;0;Adventure
Angel 3;0;Adventure
Angel Nieto Pole 500;0;Sports
Angel Wrestling;0;Strategy
Angst- a Game of Urban Survival;0;Adventure
Angst - Rahz's Revenge;0;Action
Ani-Life;0;Simulation
ANIMAC;0;Action
