5695AA|Dance Dance Revolution - Disney Dancing Museum|Dance Dance Revolution : Disney Dancing Museum||Action,Music and Dance,Rhythm,|2||Konami|Disney - Konami|2000
5635AA|Dark Rift|Dark Rift||Fight,Action,|2||Tokaï|Kronos Digital Entertainment - Vic Tokai|1997
5678AA|Deadly Arts|Deadly Arts||Puzzle-Game,Action,Fight,|2||KCET|Konami|1998
5617AA|Magical Tetris Challenge|Magical Tetris Challenge|Magical Tetris Challenge Featuring Mickey|Puzzle-Game,|2||Capcom|Activision|1998
59765A|Densha De Go! 64|Densha De Go! 64||Simulation,|1||Taito|Taito|1999
59766A|Derby Stallion 64|Derby Stallion 64||Race, Driving,Sports with Animals,Horses race,|4||Parity Bit|Media Factory|2001
5514AA|Destruction Derby 64|Destruction Derby 64||Race, Driving,|4||Looking Glass|THQ|1999
5696AA|Dezaemon 3d|Dezaemon 3d||Shoot'em Up,Action,|1||Athena|Athena|1998
5409AA|Diddy Kong Racing|Diddy Kong Racing||Action,Race, Driving,Adventure,|4||Rareware|Nintendo|1997
5460AA|Disney's Tarzan|Disney's Tarzan||Action,Platform,|1||Activision|Activision - Disney - Eurocom|1999
5499AA|Donald Duck - Cou@k Att@ck ?*!|Donald Duck : Goin' Qu@ckers*!||Adventure,Platform,|1||Disney|Ubisoft|2000
5404AA|Donkey Kong 64|Donkey Kong 64||Action,Adventure,Platform,|4||Rareware|Nintendo|1999
5446AA|Doom 64|Doom 64||Shoot'em Up,Action,Shooter,Shooter / 1st person,|1||Midway|id Software - Midway|1997
59767A|Doraemon - Nobita To 3tsu No Seireiseki|Doraemon||Adventure,Action,Action / Adventure,Platform,|1||Epoch|Epoch|1997
59768A|Doraemon 2 - Nobita To Hikari No Shinden|Doraemon 2 - Nobita To Hikari No Shinden||Action,Action / Adventure,Platform,|1||Epoch Co.|Epoch Co.|1998
59769A|Doraemon 3 - Nobita No Machi Sos!|Doraemon 3 - Nobita No Machi Sos!||Action,Action / Adventure,Platform,|1||Epoch Co.|Epoch Co.|2000
5529AA|Dr. Mario 64|Dr. Mario 64||Puzzle-Game,|4|Coop|Nintendo|Nintendo|2001
186688|Dragon King by CrowTRobo|Dragon King by CrowTRobo|||||||
59771A|Dragon Sword 64|Dragon Sword 64||Fight,|4|Coop|Team Storm|MGM Interactive|1998
59524A|40 Winks|40 Winks||Action,Platform,|2||Eurocom|GT Interactive|1999
5569AA|Dual Heroes|Dual Heroes||Fight,Action,|2||Electro Brain|Electro Brain|1997
5430AA|Duke Nukem 64|Duke Nukem 64||Action,Shooter,Shooter / 1st person,|4|Coop|Eurocom|3D Realms - Eurocom - GT Interactive|1997
5456AA|Duke Nukem - Zero Hour|Duke Nukem : Zero Hour|Duke Nukem - ZER0 H0UR|Shooter / 1st person,Action,Shooter,|4||Eurocom|GT Interactive|1999
