150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
3093AA|Batman Forever|Batman Forever||Fight,Action,|1||Probe Entertainment Ltd.|Acclaim Entertainment, Inc.|1995
3221AA|Battle Arena Toshinden|Battle Arena Toshinden||Fight,Action,|2||Tamsoft Corporation|TAKARA Co., Ltd.|1996
3678AA|Battle Bull|Battle Bull||Action,Puzzle|2||Jorudan Co., Ltd.|SETA U.S.A., Inc.|1991
3567AA|Battle City|Battle City|BattleCity|Shoot'em Up,Action,|2||Namco Limited|Nova Co., Ltd.|1991
65208A|Battle Crusher|Battle Crusher||Fighting,|2||Sun L|Banpresto|1995
65209A|Battle Dodge Ball|Battle Dodge Ball||Sports,|1||Sun L|Banpresto|1992
65210A|Battle Of Kingdom|Battle of Kingdom||,Arcade|||Lenar|Meldac|1991
3460AA|Battle Ping Pong|Battle Ping Pong|Battle Pingpong|Sports,|2||Sport|Sport|
65211A|Battle Space|Battle Space||Action,RPG|2||Akson Software|Akson Software|1992
65212A|Battle Unit Zeoth|Battle Unit Zeoth||Shoot'em Up,Action,|1||Jaleco Ltd.|Jaleco USA, Inc.|1990
3465AA|Battleship|Battleship||Action,Strategy,|2||Pack-In-Video|Mindscape|1989
2956AA|Battletoads|Battletoads||Fight,Action,|1||Rare, Ltd.|Tradewest, Inc.|1991
2957AA|Battletoads Double Dragon|Battletoads Double Dragon||Beat'em Up,Action,|1||Rare, Ltd.|Tradewest, Inc.|1993
3078AA|Battletoads In Ragnarok's World|Battletoads in Ragnarok's World||Simulation,Action,|1||Rare|Tradewest|1993
65213A|Beast Fighter|Beast Fighter||Action,|1||Sachen|Sachen|2000
3398AA|Beavis And Butt-head|Beavis and Butt-Head|Beavis and Butthead|Platform,Action,|1||Viacom|Atari Games Corporation|1994
65214A|Beethoven|Beethoven||Platform,|||Unexpected Development|Hi Tech Expressions|1993
3490AA|Beetlejuice|Beetlejuice||Puzzle-Game,Action,|1||Rare, Ltd.|LJN, Ltd.|1992
3378AA|Best Of The Best - Championship Karate|Best of the Best : Championship Karate||Fight,Sports,|1||Loriciels|Electro Brain|1992
