3869AA|007 - Nightfire|007 : Nightfire||Sports,Shooter / 1st person,Shooter,|2||JV Games|Electronic Arts|2003
83104A|3 Game Pack! - Mouse Trap + Simon + Operation|3 Game Pack! : Mouse Trap + Simon + Operation|||||||
83105A|3 Game Pack! - The Game Of Life + Payday + Yahtzee|3 Game Pack! : The Game of Life + Payday + Yahtzee|||||||
83106A|3 Games In 1 - Rugrats - I Gotta Go Party + Spongebob Squarepants - Supersponge + Tak And The Power Of Juju|3 Games in 1 - Rugrats - I Gotta Go Party + Sponge|||||||
83107A|3 Games In One! - Breakout + Centipede + Warlords|3 Games in One! - Breakout + Centipede + Warlords|||||||
83108A|3 Games In One! - Super Breakout + Millipede + Lunar Lander|3 Games in One! - Super Breakout + Millipede + Lun|||||||
83109A|3 Games In One! - Yars' Revenge + Asteroids + Pong|3 Games in One! - Yars' Revenge + Asteroids + Pong|||||||
83110A|4 Games On One Game Pak|4 Games on One Game Pak|||||||
84632A|Sound Of Thunder, A|A Sound of Thunder||Action / Adventure,Action,|1||Mobius Entertainment|Bam Entertainment|2004
4221AA|Ace Combat Advance|Ace Combat Advance||Shooter,Action,|1||Atari|Namco|2006
65417A|Ace Lightning|Ace Lightning||Shooter,Action,|1||Tiertex Design Studios|BBC Multimedia|2002
4242AA|Action Man - Robot Atak|Action Man : Robot Atak|Action Man - Robot Attack|Action|1||Magic Pockets|Atari|2004
72006A|Activision Anthology|Activision Anthology||Compilation,|2||Aspyr|Aspyr|2003
4051AA|Advance Guardian Heroes|Advance Guardian Heroes||Fight,Action,|4||Treasure|Ubisoft|2005
154993|Advance Play Edition - Balloon Fight|Advance Play Edition - Balloon Fight|||||||
154977|Advance Play Edition - Baseball|Advance Play Edition - Baseball|||||||
154992|Advance Play Edition - Clu Clu Land|Advance Play Edition - Clu Clu Land|||||||
154978|Advance Play Edition - Donkey Kong|Advance Play Edition - Donkey Kong|||||||
154991|Advance Play Edition - Donkey Kong 3|Advance Play Edition - Donkey Kong 3|||||||
154990|Advance Play Edition - Donkey Kong Jr.|Advance Play Edition - Donkey Kong Jr.|||||||
154989|Advance Play Edition - Donkey Kong Jr. Math|Advance Play Edition - Donkey Kong Jr. Math|||||||
154988|Advance Play Edition - Dr. Mario|Advance Play Edition - Dr. Mario|||||||
154987|Advance Play Edition - Excitebike|Advance Play Edition - Excitebike|||||||
